ispb,nome_completo,nome_reduzido,cnpj,tipo_instituicao,autorizada_bcb,participa_pix,participa_str,status_operacional,fonte_dados,modalidade_pix,iniciacao_pagamento,facilitador_saque,data_inicio_operacao,acesso_principal,participa_compe
05463212,COOPCENTRAL AILOS,COOPCENTRAL AILOS,05463212000129,Cooperativa de Crédito,Sim,Sim,Sim,,PIX+STR,Provedor de Conta Transacional,Sim,Não,17/05/2010,RSFN,Sim
05463934,CC CREDLIDER,CC CREDLIDER,05463934000183,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
05477038,CC NO PIAUÍ - SICOOB PIAUÍ,CC NO PIAUÍ - SICOOB PIAUÍ,05477038000173,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
05491616,"COOPERATIVA DE CRÉDITO, POUPANÇA E SERVIÇOS FINANCEIROS",COOP CREDITAG,,Instituição Financeira,Sim,Não,Sim,Ativo,STR,,Não,Não,24/02/2021,RSFN,Não
05494591,COOP CRESOL NASCENTE,COOP CRESOL NASCENTE,05494591000114,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
05545390,COOP SICREDI LENÇÓIS,COOP SICREDI LENÇÓIS,05545390000107,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
05582619,CC SICOOB OURO VERDE,CC SICOOB OURO VERDE,05582619000175,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
05597773,CC INVESTIMENTO LIVRE ADMISSÃO DO OESTE DE RONDÔNIA,CC INVESTIMENTO LIVRE ADMISSÃO DO OESTE DE RONDÔNIA,05597773000110,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
05667301,CECM COOPERSERV,CECM COOPERSERV,05667301000197,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
05684234,PLANNER SOCIEDADE DE CRÉDITO DIRETO,PLANNER SOCIEDADE DE CRÉDITO DIRETO,05684234000119,Sociedade de Crédito Direto,Sim,Sim,Sim,,PIX+STR,Provedor de Conta Transacional,Não,Não,17/02/2021,RSFN,Não
05841967,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FABRICANTES DE CALÇADOS DE SAPIRANGA LTDA.,CECM FABRIC CALÇADOS SAPIRANGA,,Instituição Financeira,Sim,Não,Sim,Ativo,STR,,Não,Não,22/03/2021,RSFN,Não
05856736,SICOOB EMPRESARIAL,SICOOB EMPRESARIAL,05856736000180,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
05861932,CCM DOS ADVOGADOS DE SC,CCM DOS ADVOGADOS DE SC,05861932000142,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
05863726,COOP CRESOL PLANALTO SERRA SUL,COOP CRESOL PLANALTO SERRA SUL,05863726000171,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
05888589,COOP SUL,COOP SUL,05888589000120,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
05938780,COOPER CARD IP,COOPER CARD IP,05938780000309,Instituição de Pagamento,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,Não,,,
05969937,CCMS MUNICIPAIS DE BEBEDOURO,CCMS MUNICIPAIS DE BEBEDOURO,05969937000193,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
05979692,CREDCREA,CREDCREA,05979692000185,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
05983995,COOP CRESOL COOPERAR,COOP CRESOL COOPERAR,05983995000171,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
06031727,COOP CRESOL ESSENCIA,COOP CRESOL ESSENCIA,06031727000112,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
06078926,COOP SICREDI CREDENOREG,COOP SICREDI CREDENOREG,06078926000186,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
06126780,COOP CRESOL GRANDES LAGOS PR/SP,COOP CRESOL GRANDES LAGOS PR/SP,06126780000105,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
06139650,COOP CRESOL RIO GRANDE DO SUL,COOP CRESOL RIO GRANDE DO SUL,06139650000107,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
06174009,CC SICOOB ALIANÇA,CC SICOOB ALIANÇA,06174009000103,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
06249129,"RPW S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO",RPW S.A. SCFI,,Instituição Financeira,Sim,Não,Sim,Ativo,STR,,Não,Não,29/05/2023,RSFN,Não
06255692,NDD,NDD,06255692000103,Instituição de Pagamento não sujeita à autorização pelo BCB,Não,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
06271464,Banco Bradesco BBI S.A.,BCO BBI S.A.,,Instituição Financeira,Sim,Não,Sim,Ativo,STR,,Não,Não,22/04/2002,RSFN,Sim
06324872,CC CREDINOSSO,CC CREDINOSSO,06324872000191,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
06332931,COOP SICREDI CERRADO GO,COOP SICREDI CERRADO GO,06332931000173,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
06910457,CCLA SANTA CRUZ PALMEIRAS,CCLA SANTA CRUZ PALMEIRAS,06910457000110,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
06975532,CREDISIS COOPESA,CREDISIS COOPESA,06975532000120,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,Não,,,
07026923,CCLA SICOOB ARENITO PARANÁ / SÃO PAULO,CCLA SICOOB ARENITO PARANÁ / SÃO PAULO,07026923000161,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
07070495,COOP SICREDI EMPREENDEDORES,COOP SICREDI EMPREENDEDORES,07070495000174,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
07097064,COOP SICOOB CONFIANÇA,COOP SICOOB CONFIANÇA,07097064000100,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
07115294,BOKU NETWORK BRASIL IP,BOKU NETWORK BRASIL IP,07115294000146,Instituição de Pagamento,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Etapa Homologatória,nan,,,
07122321,CC INTEGRADO - SICOOB INTEGRADO,CC INTEGRADO - SICOOB INTEGRADO,07122321000108,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
07136847,HYPER WALLET IP LTDA,HYPER WALLET IP LTDA,07136847000147,Instituição de Pagamento não sujeita à autorização pelo BCB,Não,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
07138049,PICPAY INVEST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA,PICPAY INVEST,,Instituição Financeira,Sim,Não,Sim,Ativo,STR,,Não,Não,09/03/2022,RSFN,Não
07194313,CC SICOOB HORIZONTE,CC SICOOB HORIZONTE,07194313000177,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
07206072,COOP SICREDI NOVOS HORIZONTES PR/SP/RJ,COOP SICREDI NOVOS HORIZONTES PR/SP/RJ,07206072000139,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
07207996,Banco Bradesco Financiamentos S.A.,BCO BRADESCO FINANC. S.A.,,Instituição Financeira,Sim,Não,Sim,Ativo,STR,,Não,Não,22/04/2002,RSFN,Sim
07215632,COOP CRESOL ALTERNATIVA,COOP CRESOL ALTERNATIVA,07215632000111,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
07237373,BCO DO NORDESTE DO BRASIL S.A.,BCO DO NORDESTE DO BRASIL S.A.,07237373000120,Banco Múltiplo,Sim,Sim,Sim,,PIX+STR,Provedor de Conta Transacional,Não,Não,22/04/2002,RSFN,Sim
07252614,COOP CRESOL CONFIANÇA,COOP CRESOL CONFIANÇA,07252614000100,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
07253654,HEDGE INVESTMENTS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,HEDGE INVESTMENTS DTVM LTDA.,,Instituição Financeira,Sim,Não,Sim,Ativo,STR,,Não,Não,08/09/2021,RSFN,Não
07268499,COOP CRESOL INTEGRACAO,COOP CRESOL INTEGRACAO,07268499000161,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
07318874,COOP  SICOOB MÉDIO OESTE,COOP  SICOOB MÉDIO OESTE,07318874000130,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
07320890,COOP CRESOL VALE,COOP CRESOL VALE,07320890000168,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
07322044,6PAY IP,6PAY IP,07322044000187,Instituição de Pagamento não sujeita à autorização pelo BCB,Não,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
07398335,AUTHPAY INSTITUICAO DE PAGAMENTOS LTDA,AUTHPAY INSTITUICAO DE PAGAMENTOS LTDA,07398335000159,Instituição de Pagamento não sujeita à autorização pelo BCB,Não,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
07412987,COOP CRESOL ALIANÇA,COOP CRESOL ALIANÇA,07412987000109,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
07450604,BANK OF CHINA (BRASIL) BANCO MÚLTIPLO S/A,BOC BRASIL,,Instituição Financeira,Sim,Não,Sim,Ativo,STR,,Não,Não,22/04/2002,RSFN,Não
07465539,COOP CRESOL ALTO VALE,COOP CRESOL ALTO VALE,07465539000165,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
07469260,CC CREDIFIEMG,CC CREDIFIEMG,07469260000150,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
07494300,CREDISIS/CREDISUL COOPERATIVA DE CRÉDITO,CREDISIS/CREDISUL COOPERATIVA DE CRÉDITO,07494300000113,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
07502031,CCLA CENTRO OESTE LTDA.,CCLA CENTRO OESTE LTDA.,07502031000190,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
07509426,COOP CRESOL XANXERE,COOP CRESOL XANXERE,07509426000114,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
07512441,"HS FINANCEIRA S/A CREDITO, FINANCIAMENTO E INVESTIMENTOS",HS FINANCEIRA,,Instituição Financeira,Sim,Não,Sim,Ativo,STR,,Não,Não,05/06/2017,RSFN,Não
07512780,COOP CRESOL VALE EUROPEU,COOP CRESOL VALE EUROPEU,07512780000106,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
07599206,CCLA DA REGIÃO METROPOLITANA DE GOIÂNIA LTDA.,CCLA DA REGIÃO METROPOLITANA DE GOIÂNIA LTDA.,07599206000129,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
07652226,"Lecca Crédito, Financiamento e Investimento S/A",LECCA CFI S.A.,,Instituição Financeira,Sim,Não,Sim,Ativo,STR,,Não,Não,27/12/2011,RSFN,Não
07656500,Banco KDB do Brasil S.A.,BCO KDB BRASIL S.A.,,Instituição Financeira,Sim,Não,Sim,Ativo,STR,,Não,Não,10/04/2006,RSFN,Não
07669921,CCM SICOOB CREDIACISC,CCM SICOOB CREDIACISC,07669921000190,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
07679404,BANCO TOPÁZIO S.A.,BANCO TOPÁZIO S.A.,07679404000100,Banco Múltiplo,Sim,Sim,Sim,,PIX+STR,Provedor de Conta Transacional,Não,Sim,12/06/2009,RSFN,Não
07693858,HSCM SCMEPP LTDA.,HSCM SCMEPP LTDA.,07693858000128,Sociedade de Crédito ao Microempreendedor,Sim,Sim,Sim,,PIX+STR,Provedor de Conta Transacional,Não,Não,09/02/2021,RSFN,Não
07714057,CECM PROF ÁREA NOTARIAL REGISTRAL,CECM PROF ÁREA NOTARIAL REGISTRAL,07714057000100,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
07789195,CCLA TRANSPORT RODOV VEICULOS,CCLA TRANSPORT RODOV VEICULOS,07789195000140,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
07799277,"VALOR S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO",VALOR S/A SCFI,,Instituição Financeira,Sim,Não,Sim,Ativo,STR,,Não,Não,09/08/2021,RSFN,Não
07925729,COOP CRESOL NORTE PARANAENSE,COOP CRESOL NORTE PARANAENSE,07925729000118,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
07945233,PÓLOCRED   SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE LTDA.,POLOCRED SCMEPP LTDA.,,Instituição Financeira,Sim,Não,Sim,Ativo,STR,,Não,Não,09/11/2010,RSFN,Não
07946216,CCLA SICOOB UNIÃO SUDESTE,CCLA SICOOB UNIÃO SUDESTE,07946216000193,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
07946451,COOP CRESOL ATIVA,COOP CRESOL ATIVA,07946451000165,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
07958405,COOP CRESOL SERRA MAR,COOP CRESOL SERRA MAR,07958405000186,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
08030602,CCM CORRET SEG EST SAO PAULO,CCM CORRET SEG EST SAO PAULO,08030602000101,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
08041950,COOP SICREDI COOPERJURIS,COOP SICREDI COOPERJURIS,08041950000176,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
08044854,CC INVESTIMENTO SICOOB CENTRO,CC INVESTIMENTO SICOOB CENTRO,08044854000181,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
08055016,COOP CRESOL INTERAÇÃO,COOP CRESOL INTERAÇÃO,08055016000103,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
08071414,CECM SICOOB COOPERAC,CECM SICOOB COOPERAC,08071414000113,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
08075352,COOP TRANSPOCRED,COOP TRANSPOCRED,08075352000118,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
08240446,CCR DE IBIAM,CCR DE IBIAM,08240446000103,Cooperativa de Crédito,Sim,Sim,Sim,,PIX+STR,Provedor de Conta Transacional,Sim,Sim,10/07/2020,RSFN,Não
08253539,COOP SULCREDI AMPLEA,COOP SULCREDI AMPLEA,08253539000164,Cooperativa de Crédito,Sim,Sim,Sim,,PIX+STR,Provedor de Conta Transacional,Não,Não,24/04/2018,RSFN,Não
08357240,BCO CSF S.A.,BCO CSF S.A.,08357240000150,Banco Múltiplo,Sim,Sim,Sim,,PIX+STR,Provedor de Conta Transacional,Não,Não,25/05/2020,RSFN,Não
08482873,CCR DO AGRESTE ALAGOANO,CCR DO AGRESTE ALAGOANO,08482873000190,Cooperativa de Crédito,Sim,Sim,Sim,,PIX+STR,Provedor de Conta Transacional,Não,Não,10/03/2025,RSFN,Não
08488377,COOP CRESOL MISSÕES FRONTEIRA RS,COOP CRESOL MISSÕES FRONTEIRA RS,08488377000143,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
08560508,COOP CRESOL TRIUNFO,COOP CRESOL TRIUNFO,08560508000156,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
08561701,PAGSEGURO INTERNET IP S.A.,PAGSEGURO INTERNET IP S.A.,08561701000101,Instituição de Pagamento,Sim,Sim,Sim,,PIX+STR,Provedor de Conta Transacional,Sim,Não,07/11/2018,RSFN,Não
08609934,MONEYCORP BANCO DE CÂMBIO S.A.,MONEYCORP BCO DE CÂMBIO S.A.,,Instituição Financeira,Sim,Não,Sim,Ativo,STR,,Não,Não,27/01/2020,RSFN,Não
08624548,COOP CRESOL MINAS GERAIS,COOP CRESOL MINAS GERAIS,08624548000114,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
08673569,F D GOLD DTVM LTDA,F D GOLD DTVM LTDA,08673569000120,Sociedade Distribuidora de TVM,Sim,Sim,Sim,,PIX+STR,Provedor de Conta Transacional,Não,Não,01/12/2020,RSFN,Não
08742188,CCLA UNIÃO E NEGÓCIOS  - SICOOB INTEGRAÇÃO,CCLA UNIÃO E NEGÓCIOS  - SICOOB INTEGRAÇÃO,08742188000155,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
08795285,CCLA SICOOB CREDIACIL,CCLA SICOOB CREDIACIL,08795285000106,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
08844074,CC DE ITAPETININGA - SICOOB CRED-ACI,CC DE ITAPETININGA - SICOOB CRED-ACI,08844074000116,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
08850613,CECM EMPR CENT ELÉTRICAS/SC,CECM EMPR CENT ELÉTRICAS/SC,08850613000120,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
09004796,CECM SICOOB CRED-ACILPA,CECM SICOOB CRED-ACILPA,09004796000125,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
09033698,CCLA DE RIO VERDE E REGIÃO,CCLA DE RIO VERDE E REGIÃO,09033698000116,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
09089356,EFÍ S.A. - IP,EFÍ S.A. - IP,09089356000118,Instituição de Pagamento,Sim,Sim,Sim,,PIX+STR,Provedor de Conta Transacional,Sim,Não,16/03/2020,RSFN,Não
09105360,ICAP do Brasil Corretora de Títulos e Valores Mobiliários Ltda.,ICAP DO BRASIL CTVM LTDA.,,Instituição Financeira,Sim,Não,Sim,Ativo,STR,,Não,Não,12/02/2016,RSFN,Não
09210106,SOCRED SA - SCMEPP,SOCRED SA - SCMEPP,09210106000194,Sociedade de Crédito ao Microempreendedor,Sim,Sim,Sim,,PIX+STR,Provedor de Conta Transacional,Sim,Sim,12/06/2017,RSFN,Não
09274232,STATE STREET BRASIL S.A. - BANCO COMERCIAL,STATE STREET BR S.A. BCO COMERCIAL,,Instituição Financeira,Sim,Não,Sim,Ativo,STR,,Não,Não,08/08/2008,RSFN,Não
09313766,CARUANA SCFI,CARUANA SCFI,09313766000109,"Sociedade de Crédito, Financiamento e Investimento",Sim,Sim,Sim,,PIX+STR,Provedor de Conta Transacional,Não,Não,12/08/2013,RSFN,Não
09330158,COOP CRESOL TREZE DE MAIO,COOP CRESOL TREZE DE MAIO,09330158000102,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
09343038,COOP SICREDI ALTSERTÃO PARAIBANO,COOP SICREDI ALTSERTÃO PARAIBANO,09343038000131,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
09370323,LIBERCARD,LIBERCARD,09370323000141,Instituição de Pagamento não sujeita à autorização pelo BCB,Não,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
09403026,CC CENTRO LESTE NORTE MARANHENSE - SICOOB CENTROLESTE,CC CENTRO LESTE NORTE MARANHENSE - SICOOB CENTROLESTE,09403026000155,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
09424988,CCLA DO OESTE MARANHENSE - SICOOB OESTE MARANHENSE,CCLA DO OESTE MARANHENSE - SICOOB OESTE MARANHENSE,09424988000190,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
09437293,BRINKS PAY IP LTDA.,BRINKS PAY IP LTDA.,09437293000143,Instituição de Pagamento,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,Não,,,
09463721,COOP CRESOL JACINTO MACHADO,COOP CRESOL JACINTO MACHADO,09463721000102,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
09464032,MIDWAY S.A. - SCFI,MIDWAY S.A. - SCFI,09464032000112,"Sociedade de Crédito, Financiamento e Investimento",Sim,Sim,Sim,,PIX+STR,Provedor de Conta Transacional,Não,Não,01/02/2021,RSFN,Não
09488496,COOP CRESOL COOPERACRED,COOP CRESOL COOPERACRED,09488496000169,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
09512539,CC DA FOZ DO RIO ITAJAÍ AÇU,CC DA FOZ DO RIO ITAJAÍ AÇU,09512539000102,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
09512542,Codepe Corretora de Valores e Câmbio S.A.,CODEPE CVC S.A.,,Instituição Financeira,Sim,Não,Sim,Ativo,STR,,Não,Não,09/11/2012,Internet,Não
09516419,PICPAY BANK - BANCO MÚLTIPLO S.A,PICPAY BANK - BANCO MÚLTIPLO S.A,09516419000175,Banco Múltiplo,Sim,Sim,Sim,,PIX+STR,Provedor de Conta Transacional,Não,Não,25/07/2008,RSFN,Não
09526594,BANCO MASTER DE INVESTIMENTO S.A. - EM LIQUIDAÇÃO EXTRAJUDICIAL,MASTER BI S.A. - EM LIQUIDAÇÃO EXTRAJUDICIAL,,Instituição Financeira,Sim,Não,Sim,Ativo,STR,,Não,Não,20/03/2023,RSFN,Não
09552111,COOP JUST GOIAS E CELG,COOP JUST GOIAS E CELG,09552111000185,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
09576849,CCLA CERES E RIALMA LTDA,CCLA CERES E RIALMA LTDA,09576849000182,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
09579249,"CECM EMP AMERICANA, LIMEIRA E","CECM EMP AMERICANA, LIMEIRA E",09579249000178,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
09590601,COOP CREDICOMIN,COOP CREDICOMIN,09590601000176,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
10143499,CCLA JATAÍ E REGIÃO,CCLA JATAÍ E REGIÃO,10143499000140,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
10143743,CREVISC,CREVISC,10143743000174,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
10175348,CCMLA REGIãO ADMINISTRATIVA DE SOROCABA,CCMLA REGIãO ADMINISTRATIVA DE SOROCABA,10175348000173,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
10209619,CCLA DA GRANDE GOIÂNIA LTDA.,CCLA DA GRANDE GOIÂNIA LTDA.,10209619000164,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
10218474,CIVIA COOP CRED,CIVIA COOP CRED,10218474000168,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
10262276,CCLA DO ESTADO DE SÃO PAULO - SICOOB PAULISTA,CCLA DO ESTADO DE SÃO PAULO - SICOOB PAULISTA,10262276000100,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
10264663,BancoSeguro S.A.,BANCOSEGURO S.A.,,Instituição Financeira,Sim,Não,Sim,Ativo,STR,,Não,Não,24/10/2008,RSFN,Não
10311218,COOP EVOLUA,COOP EVOLUA,10311218000110,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
10314753,STRADA PAY IP LTDA.,STRADA PAY IP LTDA.,10314753000125,Instituição de Pagamento,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Etapa Homologatória,nan,,,
10319386,CCLA DO CENTRO SUL DE MS,CCLA DO CENTRO SUL DE MS,10319386000152,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
10348181,COOP SICREDI VALE LITORAL SC,COOP SICREDI VALE LITORAL SC,10348181000103,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,Sim,,,
10371492,Banco Yamaha Motor do Brasil S.A.,BCO YAMAHA MOTOR S.A.,,Instituição Financeira,Sim,Não,Sim,Ativo,STR,,Não,Não,05/09/2022,RSFN,Não
10398952,CRESOL CONFEDERAÇÃO,CRESOL CONFEDERAÇÃO,10398952000169,Cooperativa de Crédito,Sim,Sim,Sim,,PIX+STR,Provedor de Conta Transacional,Não,Não,02/05/2016,RSFN,Sim
10440482,GETNET ADQUIRÊNCIA E SERVIÇOS PARA MEIOS DE PAGAMENTO S.A. INSTITUIÇÃO DE PAGAMENTO,GETNET IP,,Instituição Financeira,Sim,Não,Sim,Ativo,STR,,Não,Não,13/08/2025,RSFN,Não
10506341,BLU IP LTDA.,BLU IP LTDA.,10506341000197,Instituição de Pagamento,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,Não,,,
10520232,COOP CRESOL AMAZONIA,COOP CRESOL AMAZONIA,10520232000124,Cooperativa de Crédito,Sim,Sim,Não,,PIX,Provedor de Conta Transacional,Não,nan,,,
10573521,MERCADO PAGO IP LTDA.,MERCADO PAGO IP LTDA.,10573521000191,Instituição de Pagamento,Sim,Sim,Sim,,PIX+STR,Provedor de Conta Transacional,Sim,Sim,24/06/2019,RSFN,Não
10663610,DESENVOLVE SP - AGÊNCIA DE FOMENTO DO ESTADO DE SÃO PAULO S.A.,AF DESENVOLVE SP S.A.,,Instituição Financeira,Sim,Não,Sim,Ativo,STR,,Não,Não,15/03/2024,RSFN,Não
